Aafrika	Afrika
Kategooria:Leedu kunstnikud	Kategori:Litauiske kunstnere
Thistedi vald	Thisted kommune
Kategooria:Soome dirigendid	Kategori:Finske dirigenter
Kategooria:Réunion	Kategori:Réunion
Kategooria:Hispaania provintsid	Kategori:Spanias provinser
Kategooria:Taani ajakirjad	Kategori:Danske tidsskrifter
Kategooria:Soome ajakirjad	Kategori:Finske tidsskrifter
Kategooria:Valais' kanton	Kategori:Wallis
Kategooria:Mahhatškala Anži mängijad	Kategori:Fotballspillere for FK Anzji Makhatsjkala
Kategooria:Pisa	Kategori:Pisa
Kategooria:Bologna	Kategori:Bologna
Kategooria:Barokkmuusika	Kategori:Barokkmusikk
Kategooria:Tallinna FC Levadia jalgpallurid	Kategori:Fotballspillere for FC Levadia Tallinn
Kategooria:Žanrid	Kategori:Sjangre
Kategooria:Minsk	Kategori:Minsk
Kategooria:Viljandi JK Tuleviku jalgpallurid	Kategori:Fotballspillere for JK Viljandi Tulevik
Kategooria:Tallinna FC Flora jalgpallurid	Kategori:Fotballspillere for FC Flora Tallinn
Kategooria:DOSi mängud	Kategori:DOS-spill
Kategooria:Game Boy Colori mängud	Kategori:Game Boy Color-spill
Aas	Eng
Kategooria:Libeeria presidendid	Kategori:Liberiske presidenter
Kategooria:Euroraha	Kategori:Euro
Kategooria:Valgetähe teenetemärgi kavalerid	Kategori:Den hvite stjernes orden
Kategooria:Füsioloogia	Kategori:Fysiologi
Kategooria:Rammstein	Kategori:Rammstein
Préveza piirkonnaüksus	Preveza (prefektur)
Iivo Niskanen	Iivo Niskanen
Kategooria:Østfold	Kategori:Østfold
Kategooria:Zimbabwe sportlased	Kategori:Zimbabwiske sportsutøvere
Kategooria:Sambia sportlased	Kategori:Zambiske sportsutøvere
Kategooria:Sambia kergejõustiklased	Kategori:Zambiske friidrettsutøvere
Kategooria:Zagreb	Kategori:Zagreb
Kategooria:Jugoslaavia sportlased	Kategori:Jugoslaviske sportsutøvere
Kategooria:Eesti laskesuusatajad	Kategori:Estiske skiskyttere
Kategooria:Murdmaasuusatamise maailma karikasarjad	Kategori:Verdenscupen i langrenn
Kategooria:Iisraeli kergejõustiklased	Kategori:Israelske friidrettsutøvere
Kategooria:Iirimaa kergejõustiklased	Kategori:Irske friidrettsutøvere
Kategooria:Kameruni kergejõustiklased	Kategori:Kamerunske friidrettsutøvere
Kategooria:Tšehhoslovakkia kergejõustiklased	Kategori:Tsjekkoslovakiske friidrettsutøvere
Kategooria:Austria murdmaasuusatajad	Kategori:Østerrikske langrennsløpere
Kategooria:Saksamaa murdmaasuusatajad	Kategori:Tyske langrennsløpere
Kategooria:Itaalia murdmaasuusatajad	Kategori:Italienske langrennsløpere
Kategooria:Poola murdmaasuusatajad	Kategori:Polske langrennsløpere
Kategooria:Venemaa murdmaasuusatajad	Kategori:Russiske langrennsløpere
Kategooria:Ameerika Ühendriikide murdmaasuusatajad	Kategori:Langrennsløpere fra USA
Kategooria:Prantsusmaa murdmaasuusatajad	Kategori:Franske langrennsløpere
Kategooria:Autoralli maailmameistrivõistlused	Kategori:WRC
Kategooria:Missa	Kategori:Messer
Kategooria:Leedu kettaheitjad	Kategori:Litauiske diskoskastere
Kategooria:Poola kettaheitjad	Kategori:Polske diskoskastere
Kategooria:Ameerika Ühendriikide kettaheitjad	Kategori:Diskoskastere fra USA
Kategooria:Soome kettaheitjad	Kategori:Finske diskoskastere
Kategooria:Eesti kettaheitjad	Kategori:Estiske diskoskastere
Kategooria:Läti odaviskajad	Kategori:Latviske spydkastere
Kategooria:Norra odaviskajad	Kategori:Norske spydkastere
Kategooria:Tšehhi odaviskajad	Kategori:Tsjekkiske spydkastere
Kategooria:Rootsi odaviskajad	Kategori:Svenske spydkastere
Kategooria:Valgevene vasaraheitjad	Kategori:Hviterussiske sleggekastere
Kategooria:Venemaa vasaraheitjad	Kategori:Russiske sleggekastere
Kategooria:Nõukogude Liidu vasaraheitjad	Kategori:Sovjetiske sleggekastere
Kategooria:Ameerika Ühendriikide vasaraheitjad	Kategori:Sleggekastere fra USA
Kategooria:Eesti vasaraheitjad	Kategori:Estiske sleggekastere
Konsulaat	Konsulat
Trojany	Trojany
Kategooria:Wolverhampton Wanderers FC	Kategori:Wolverhampton Wanderers
Kategooria:Tšuktšimaa	Kategori:Tsjukotka
Kategooria:Irokeesi keeled	Kategori:Irokesiske språk
Kategooria:Antarktika	Kategori:Antarktis
Kategooria:Galatasaray SK mängijad	Kategori:Fotballspillere for Galatasaray SK
Kategooria:Telemargi vallad	Kategori:Kommuner i Telemark
Kategooria:Lennundusalased navigeerimismallid	Kategori:Navigasjonsmaler luftfart
Kategooria:Korvpallialased navigeerimismallid	Kategori:Basketballnavigasjonsmaler
Kategooria:Muusika mallid	Kategori:Musikkmaler
Kategooria:Norra navigeerimismallid	Kategori:Norske navigasjonsmaler
Kategooria:Rootsi navigeerimismallid	Kategori:Svenske navigasjonsmaler
Ukraina 2014. aasta taliolümpiamängudel	Ukraina under Vinter-OL 2014
Piparkook	Pepperkake
Kategooria:Pipralaadsed	Kategori:Piperales
Kategooria:Senegali presidendid	Kategori:Senegalesiske presidenter
Kategooria:Jamaica vallad	Kategori:Jamaicas prestegjeld
Kategooria:Eesti olümpiavõitjad	Kategori:Olympiske mestere for Estland
Kategooria:Norra orkestrid	Kategori:Norske orkestre
Kölni kuurvürstkond	Kurfyrstedømmet Köln
Usbekistan 2014. aasta taliolümpiamängudel	Usbekistan under Vinter-OL 2014
Kategooria:The Beatlesi laulud	Kategori:The Beatles-sanger
Mall:Rahvuskoondised 2014. aasta taliolümpiamängudel	Mal:OL 2014 nasjoner
Miinipilduja	Bombekaster
Kategooria:Teed	Kategori:Veier
Kategooria:Cooki saarte inimesed	Kategori:Personer fra Cookøyene
Kategooria:Inglise keel	Kategori:Engelsk
Kategooria:Saaremaa inimesed	Kategori:Personer fra Saaremaa
Kategooria:Dortmund	Kategori:Dortmund
Kategooria:Ålesund	Kategori:Ålesund
Mall:Korvpall olümpiamängudel	Mal:OL basketball
Kategooria:1961. aasta laulud	Kategori:Sanger fra 1961
Kategooria:Argentina Vormel 1 piloodid	Kategori:Argentinske Formel 1-førere
Kategooria:Svaasimaa ujujad	Kategori:Swazilandske svømmere
Kategooria:Tuneesia ujujad	Kategori:Tunisiske svømmere
Kategooria:Ahvenamaa	Kategori:Åland
Kategooria:Zürich	Kategori:Zürich
Kategooria:Loomaaiad	Kategori:Dyreparker
Kategooria:Ukraina alevid	Kategori:Tettsteder i Ukraina
Mall:Värvikast	Mal:Infoboks farge
Kategooria:Tšaadi presidendid	Kategori:Tsjadiske presidenter
Kategooria:Aadlisuguvõsad	Kategori:Adelige slekter
Kategooria:Euroopa Parlamendi presidendid	Kategori:Europaparlamentets presidenter
Kategooria:Malawi presidendid	Kategori:Malawis presidenter
Kategooria:Mali presidendid	Kategori:Malis presidenter
Kategooria:Togo presidendid	Kategori:Togos presidenter
Kategooria:Liechtensteini peaministrid	Kategori:Liechtensteins regjeringssjefer
Kategooria:Rwanda peaministrid	Kategori:Rwandas statsministre
Kategooria:Iron Maiden	Kategori:Iron Maiden
Kategooria:Liverpool	Kategori:Liverpool
Kategooria:Professorid	Kategori:Professorer
Kategooria:Boliivia provintsid	Kategori:Bolivianske provinser
Kategooria:Heliloojad	Kategori:Komponister
Kategooria:Djibouti piirkonnad	Kategori:Djiboutis regioner
Mall:LAT	Mal:Latviske fylker
Kategooria:Bulgaaria kõrgushüppajad	Kategori:Bulgarske høydehoppere
Kategooria:Ungari kõrgushüppajad	Kategori:Ungarske høydehoppere
Kategooria:Saksamaa kõrgushüppajad	Kategori:Tyske høydehoppere
Kategooria:Itaalia kõrgushüppajad	Kategori:Italienske høydehoppere
Kategooria:Venemaa kõrgushüppajad	Kategori:Russiske høydehoppere
Kategooria:Nõukogude Liidu kõrgushüppajad	Kategori:Sovjetiske høydehoppere
Kategooria:Ameerika Ühendriikide kõrgushüppajad	Kategori:Høydehoppere fra USA
Kategooria:Rootsi kõrgushüppajad	Kategori:Svenske høydehoppere
Kategooria:Austraalia kaugushüppajad	Kategori:Australske lengdehoppere
Kategooria:Brasiilia kaugushüppajad	Kategori:Brasilianske lengdehoppere
Kategooria:Saksamaa kaugushüppajad	Kategori:Tyske lengdehoppere
Kategooria:Kuuba kaugushüppajad	Kategori:Cubanske lengdehoppere
Kategooria:Läti kaugushüppajad	Kategori:Latviske lengdehoppere
Kategooria:Venemaa kaugushüppajad	Kategori:Russiske lengdehoppere
Kategooria:Nõukogude Liidu jooksjad	Kategori:Sovjetiske lengdehoppere
Kategooria:Ameerika Ühendriikide kaugushüppajad	Kategori:Lengdehoppere fra USA
Kategooria:Ukraina kaugushüppajad	Kategori:Ukrainske lengdehoppere
Kategooria:Austraalia teivashüppajad	Kategori:Australske stavhoppere
Kategooria:Valgevene teivashüppajad	Kategori:Hviterussiske stavhoppere
Kategooria:Venemaa teivashüppajad	Kategori:Russiske stavhoppere
Kategooria:Ameerika Ühendriikide teivashüppajad	Kategori:Stavhoppere fra USA
Kategooria:Ukraina teivashüppajad	Kategori:Ukrainske stavhoppere
Kategooria:Prantsusmaa teivashüppajad	Kategori:Franske stavhoppere
Kategooria:Venemaa kolmikhüppajad	Kategori:Russiske tresteghoppere
Kategooria:Nõukogude Liidu kolmikhüppajad	Kategori:Sovjetiske tresteghoppere
Kategooria:Ameerika Ühendriikide kolmikhüppajad	Kategori:Tresteghoppere fra USA
Kategooria:Ukraina kolmikhüppajad	Kategori:Ukrainske tresteghoppere
Kategooria:Rootsi kolmikhüppajad	Kategori:Svenske tresteghoppere
Mall:UNESCONorra	Mal:Verdensarven Norge
Willoch	Willoch
Mall:DJI	Mal:Djiboutis regioner
Kategooria:Norra ajalugu	Kategori:Norges historie
Kategooria:Tessaalia	Kategori:Thessalia
Kategooria:Aasia maad	Kategori:Land i Asia
Kategooria:1921. aasta filmid	Kategori:Filmer fra 1921
Kategooria:Hallandi lääni vallad	Kategori:Kommuner i Hallands län
Mall:Pink Floyd	Mal:Pink Floyd
Kategooria:Aastad muusikas	Kategori:Musikk etter år
Kategooria:XML	Kategori:XML
Mall:UEFA kõrgliigad	Mal:UEFA-ligaer
Mall:SNM	Mal:San Marinos kommuner
Kategooria:Akvaariumikalad	Kategori:Akvariefisk
Mall:Final Fantasy	Mal:Final Fantasy
Mall:Saag	Mal:Saw-serien
Kategooria:Wolfsburg	Kategori:Wolfsburg
Kategooria:Austria kunstnikud	Kategori:Østerrikske kunstnere
Mall:Kvindiring	Mal:Kvintsirkelen
Kategooria:Windowsi mängud	Kategori:Windows-spill
Kategooria:Grafiti	Kategori:Graffiti
Mall:Spordialad2008Suveolümpiamängudel	Mal:OL 2008 øvelser
Kategooria:Venemaa dissidendid	Kategori:Sovjetiske dissidenter
Mall:Päris-Soome	Mal:Kommuner i landskapet Egentliga Finland
Mall:Olümpiavõitjad naiste 100 meetri jooksus	Mal:OL-vinnere på 100 m, damer
Mall:Infokast autorallisõitja	Mal:WRC driver
Kategooria:Kindralid	Kategori:Generaler
Mall:NobelRahu	Mal:Nobels fredsprisvinnere
Mall:UEFA klubijalgpalli karikavõistlused	Mal:UEFA-cuper
Mall:Pokkerimängija	Mal:Infoboks pokerspiller
Kategooria:Matemaatika loendid	Kategori:Matematikklister
Mall:Portugali meeskond 2006. aasta jalgpalli maailmameistrivõistlustel	Mal:Portugals lag i fotball-VM 2006
Mall:Portugali meeskond 2002. aasta jalgpalli maailmameistrivõistlustel	Mal:Portugals lag i fotball-VM 2002
Mall:NGR	Mal:Nigerias delstater
Kategooria:16. sajand Saksamaal	Kategori:1500-tallet i Tyskland
Mall:User lt-1	Mal:Bruker lt-1
Kategooria:17. sajand Eestis	Kategori:1600-tallet i Estland
FIDE tiitlid	Sjakktittel
Mall:Christgau reiting	Mal:Rating-Christgau
Kategooria:Leedu ehitised	Kategori:Byggverk i Litauen
Kategooria:1898. aasta filmid	Kategori:Filmer fra 1898
Kategooria:Wigan Athletic FC	Kategori:Wigan Athletic FC
Kategooria:1904. aasta suveolümpiamängud	Kategori:Sommer-OL 1904
Kategooria:1905. aasta filmid	Kategori:Filmer fra 1905
Kategooria:1908. aasta suveolümpiamängud	Kategori:Sommer-OL 1908
Kategooria:1910. aasta filmid	Kategori:Filmer fra 1910
Kategooria:1911. aasta Venemaal	Kategori:1911 i Russland
Kategooria:1916. aasta filmid	Kategori:Filmer fra 1916
Kategooria:1917. aasta Venemaal	Kategori:1917 i Russland
Kategooria:1917. aasta muusikas	Kategori:Musikk i 1917
Kategooria:1918. aasta filmid	Kategori:Filmer fra 1918
Kategooria:1918. aasta Venemaal	Kategori:1918 i Russland
Kategooria:1919. aasta Valgevenes	Kategori:1919 i Hviterussland
Kategooria:1920. aasta Venemaal	Kategori:1920 i Russland
Kategooria:1920. aasta spordis	Kategori:Sport i 1920
Kategooria:1921. aasta Venemaal	Kategori:1921 i Russland
Kategooria:1921. aasta spordis	Kategori:Sport i 1921
Kategooria:1922. aasta spordis	Kategori:Sport i 1922
Kategooria:Statistikud	Kategori:Statistikere
Kategooria:1924. aasta spordis	Kategori:Sport i 1924
Kategooria:1925. aasta spordis	Kategori:Sport i 1925
Kategooria:1926. aasta spordis	Kategori:Sport i 1926
Kategooria:1927. aasta spordis	Kategori:Sport i 1927
Kategooria:1928. aasta spordis	Kategori:Sport i 1928
Kategooria:1929. aasta spordis	Kategori:Sport i 1929
Kategooria:1930. aasta jalgpalli maailmameistrivõistlused	Kategori:VM i fotball 1930
Kategooria:1930. aasta spordis	Kategori:Sport i 1930
Kategooria:Lääneiraani keeled	Kategori:Vestiranske språk
Kategooria:Iraani kettaheitjad	Kategori:Iranske diskoskastere
Kategooria:Lääne-Soome lään	Kategori:Västra Finlands län
Kategooria:1931. aasta spordis	Kategori:Sport i 1931
Kategooria:1932. aasta taliolümpiamängud	Kategori:Vinter-OL 1932
Kategooria:1932. aasta suveolümpiamängud	Kategori:Sommer-OL 1932
Kategooria:Ameerika iseseisvussõda	Kategori:Den amerikanske uavhengighetskrigen
Kategooria:1933. aasta spordis	Kategori:Sport i 1933
Kategooria:1934. aasta jalgpalli maailmameistrivõistlused	Kategori:VM i fotball 1934
Kategooria:1934. aasta spordis	Kategori:Sport i 1934
Kategooria:1935. aasta filmid	Kategori:Filmer fra 1935
Kategooria:1936. aasta suveolümpiamängud	Kategori:Sommer-OL 1936
Kategooria:1937. aasta NSV Liidus	Kategori:1937 i Sovjetunionen
Kategooria:1937. aasta spordis	Kategori:Sport i 1937
Kategooria:Soome ujujad	Kategori:Finske svømmere
Kategooria:1938. aasta NSV Liidus	Kategori:1938 i Sovjetunionen
Kategooria:1938. aasta spordis	Kategori:Sport i 1938
Kategooria:1940. aasta spordis	Kategori:Sport i 1940
Martin Liivamägi	Martin Liivamägi
Kategooria:Sloveenia ujujad	Kategori:Slovenske svømmere
Kategooria:Walesi sportlased	Kategori:Walisiske sportsutøvere
Kategooria:Norra ujujad	Kategori:Norske svømmere
Kategooria:1944. aasta filmid	Kategori:Filmer fra 1944
Kategooria:Eesti mallid	Kategori:Estiske maler
Kategooria:1944. aasta spordis	Kategori:Sport i 1944
Kategooria:1945. aasta filmid	Kategori:Filmer fra 1945
Kategooria:1946. aasta spordis	Kategori:Sport i 1946
Kategooria:1947. aasta filmid	Kategori:Filmer fra 1947
Kategooria:1948. aasta suveolümpiamängud	Kategori:Sommer-OL 1948
Kategooria:1948. aasta filmid	Kategori:Filmer fra 1948
Kategooria:1948. aasta spordis	Kategori:Sport i 1948
Kategooria:1949. aasta filmid	Kategori:Filmer fra 1949
Kategooria:1950. aasta jalgpalli maailmameistrivõistlused	Kategori:VM i fotball 1950
Kategooria:1950. aasta spordis	Kategori:Sport i 1950
Kategooria:1951. aasta singlid	Kategori:Singler fra 1951
Kategooria:1951. aasta spordis	Kategori:Sport i 1951
Kategooria:1952. aasta muusikas	Kategori:Musikk i 1952
Kategooria:1952. aasta spordis	Kategori:Sport i 1952
Kategooria:1953. aasta muusikas	Kategori:Musikk i 1953
Kategooria:1953. aasta spordis	Kategori:Sport i 1953
Kategooria:1953. aasta singlid	Kategori:Singler fra 1953
Kategooria:1954. aasta jalgpalli maailmameistrivõistlused	Kategori:VM i fotball 1954
Kategooria:1954. aasta spordis	Kategori:Sport i 1954
Kategooria:1955. aasta spordis	Kategori:Sport i 1955
Kategooria:1956. aasta suveolümpiamängud	Kategori:Sommer-OL 1956
Kategooria:1956. aasta muusikas	Kategori:Musikk i 1956
Kategooria:1956. aasta spordis	Kategori:Sport i 1956
Kategooria:1957. aasta muusikas	Kategori:Musikk i 1957
Kategooria:1957. aasta spordis	Kategori:Sport i 1957
Kategooria:1958. aasta jalgpalli maailmameistrivõistlused	Kategori:VM i fotball 1958
Kategooria:Telekanalid	Kategori:TV-kanaler
Kategooria:1958. aasta muusikas	Kategori:Musikk i 1958
Kategooria:1958. aasta spordis	Kategori:Sport i 1958
Kategooria:1958. aasta singlid	Kategori:Singler fra 1958
Kategooria:1959. aasta muusikas	Kategori:Musikk i 1959
Kategooria:1959. aasta spordis	Kategori:Sport i 1959
Kategooria:1960. aasta suveolümpiamängud	Kategori:Sommer-OL 1960
Kategooria:1960. aasta spordis	Kategori:Sport i 1960
Kategooria:1961. aasta muusikas	Kategori:Musikk i 1961
Kategooria:1961. aasta spordis	Kategori:Sport i 1961
Kategooria:1962. aasta spordis	Kategori:Sport i 1962
Kategooria:1963. aasta muusikas	Kategori:Musikk i 1963
Kategooria:1963. aasta spordis	Kategori:Sport i 1963
Kategooria:1964. aasta suveolümpiamängud	Kategori:Sommer-OL 1964
Kategooria:1964. aasta muusikas	Kategori:Musikk i 1964
Kategooria:1964. aasta spordis	Kategori:Sport i 1964
Kategooria:1965. aasta muusikas	Kategori:Musikk i 1965
Kategooria:1965. aasta spordis	Kategori:Sport i 1965
Kategooria:1966. aasta jalgpalli maailmameistrivõistlused	Kategori:VM i fotball 1966
Kategooria:1966. aasta spordis	Kategori:Sport i 1966
Kategooria:1967. aasta muusikas	Kategori:Musikk i 1967
Kategooria:1968. aasta taliolümpiamängud	Kategori:Vinter-OL 1968
Kategooria:1968. aasta suveolümpiamängud	Kategori:Sommer-OL 1968
Kategooria:1968. aasta spordis	Kategori:Sport i 1968
Kategooria:1969. aasta muusikas	Kategori:Musikk i 1969
Kategooria:1969. aasta spordis	Kategori:Sport i 1969
Kategooria:1970. aasta muusikas	Kategori:Musikk i 1970
Kategooria:1970. aasta spordis	Kategori:Sport i 1970
Kategooria:1971. aasta muusikas	Kategori:Musikk i 1971
Kategooria:1971. aasta spordis	Kategori:Sport i 1971
Kategooria:1972. aasta taliolümpiamängud	Kategori:Vinter-OL 1972
Kategooria:1972. aasta spordis	Kategori:Sport i 1972
Kategooria:1973. aasta muusikas	Kategori:Musikk i 1973
Kategooria:1974. aasta muusikas	Kategori:Musikk i 1974
Kategooria:1974. aasta spordis	Kategori:Sport i 1974
Kategooria:Veepallurid	Kategori:Vannpolospillere
Kategooria:1975. aasta muusikas	Kategori:Musikk i 1975
Kategooria:1975. aasta spordis	Kategori:Sport i 1975
Kategooria:Veepall olümpiamängudel	Kategori:Vannpolo under sommer-OL
Kategooria:1976. aasta suveolümpiamängud	Kategori:Sommer-OL 1976
Kategooria:1976. aasta muusikas	Kategori:Musikk i 1976
Kategooria:1976. aasta spordis	Kategori:Sport i 1976
Kategooria:1977. aasta muusikas	Kategori:Musikk i 1977
Kategooria:1977. aasta spordis	Kategori:Sport i 1977
Kategooria:1978. aasta muusikas	Kategori:Musikk i 1978
Kategooria:1978. aasta spordis	Kategori:Sport i 1978
Kategooria:1979. aasta spordis	Kategori:Sport i 1979
Kategooria:Lääne-Virginia geograafia	Kategori:Vest-Virginias geografi
Kategooria:1980. aasta muusikas	Kategori:Musikk i 1980
Kategooria:1980. aasta singlid	Kategori:Singler fra 1980
Kategooria:Kellassepad	Kategori:Urmakere
Kategooria:1981. aasta muusikas	Kategori:Musikk i 1981
Kategooria:1982. aasta muusikas	Kategori:Musikk i 1982
Kategooria:1982. aasta spordis	Kategori:Sport i 1982
Kategooria:Washington	Kategori:Washington, DC
Kategooria:1983. aasta muusikas	Kategori:Musikk i 1983
Kategooria:1983. aasta spordis	Kategori:Sport i 1983
Kategooria:1984. aasta suveolümpiamängud	Kategori:Sommer-OL 1984
Kategooria:1984. aasta taliolümpiamängud	Kategori:Vinter-OL 1984
Kategooria:1984. aasta muusikas	Kategori:Musikk i 1984
Kategooria:1984. aasta spordis	Kategori:Sport i 1984
Kategooria:1985. aasta muusikas	Kategori:Musikk i 1985
Vikipeedia:Kultuurimälestised Vikipeediasse 2011	Wikipedia:Wiki Loves Monuments 2011
Kategooria:Makroökonoomika	Kategori:Makroøkonomi
Kategooria:1986. aasta muusikas	Kategori:Musikk i 1986
Kategooria:1986. aasta spordis	Kategori:Sport i 1986
Kategooria:1987. aasta muusikas	Kategori:Musikk i 1987
Kategooria:1987. aasta spordis	Kategori:Sport i 1987
Kategooria:1988. aasta suveolümpiamängud	Kategori:Sommer-OL 1988
Kategooria:1988. aasta spordis	Kategori:Sport i 1988
Kategooria:1989. aasta muusikas	Kategori:Musikk i 1989
Kategooria:1989. aasta spordis	Kategori:Sport i 1989
Kategooria:Wallis ja Futuna	Kategori:Wallis- og Futunaøyene
Kategooria:1990. aasta muusikas	Kategori:Musikk i 1990
Kategooria:1991. aasta Venemaal	Kategori:1991 i Russland
Kategooria:1991. aasta muusikas	Kategori:Musikk i 1991
Kategooria:1991. aasta NSV Liidus	Kategori:1991 i Sovjetunionen
Kategooria:1992. aasta taliolümpiamängud	Kategori:Vinter-OL 1992
Kategooria:1992. aasta suveolümpiamängud	Kategori:Sommer-OL 1992
Kategooria:1992. aasta muusikas	Kategori:Musikk i 1992
Kategooria:1993. aasta muusikas	Kategori:Musikk i 1993
Kategooria:1993. aasta spordis	Kategori:Sport i 1993
Kategooria:1994. aasta taliolümpiamängud	Kategori:Vinter-OL 1994
Kategooria:1994. aasta muusikas	Kategori:Musikk i 1994
Kategooria:1994. aasta spordis	Kategori:Sport i 1994
Kategooria:1997. aasta maailmameistrivõistlused kergejõustikus	Kategori:VM i friidrett 1997
Kategooria:Colombia vulkaanid	Kategori:Vulkaner i Colombia
Kategooria:1997. aasta muusikas	Kategori:Musikk i 1997
Kategooria:1998. aasta jalgpalli maailmameistrivõistlused	Kategori:VM i fotball 1998
Kategooria:1998. aasta taliolümpiamängud	Kategori:Vinter-OL 1998
Kategooria:Vojvodina	Kategori:Vojvodina
Kategooria:1998. aasta muusikas	Kategori:Musikk i 1998
Kategooria:1998. aasta spordis	Kategori:Sport i 1998
Kategooria:Vladivostok	Kategori:Vladivostok
Kategooria:Vladimiri-Suzdali vürstiriik	Kategori:Vladimir-Suzdal
Kategooria:1999. aasta muusikas	Kategori:Musikk i 1999
Kategooria:1999. aasta spordis	Kategori:Sport i 1999
Kategooria:2000. aasta suveolümpiamängud	Kategori:Sommer-OL 2000
Kategooria:2000. aasta muusikas	Kategori:Musikk i 2000
Kategooria:2000. aasta spordis	Kategori:Sport i 2000
Kategooria:2001. aasta muusikas	Kategori:Musikk i 2001
Minuskel	Minuskel
Kategooria:2002. aasta taliolümpiamängud	Kategori:Vinter-OL 2002
Kategooria:2002. aasta Eestis	Kategori:2002 i Estland
Kategooria:2002. aasta Saksamaal	Kategori:2002 i Tyskland
Kategooria:2003. aasta muusikas	Kategori:Musikk i 2003
Kategooria:2003. aasta spordis	Kategori:Sport i 2003
Kategooria:2004. aasta muusikas	Kategori:Musikk i 2004
Kategooria:2004. aasta spordis	Kategori:Sport i 2004
Kategooria:Gröönimaa saared	Kategori:Øyer på Grønland
Kategooria:2005. aasta Vormel 1 hooaeg	Kategori:Formel 1-sesongen 2005
Kategooria:2005. aasta muusikas	Kategori:Musikk i 2005
Kategooria:2006. aasta jalgpalli maailmameistrivõistlused	Kategori:VM i fotball 2006
Kategooria:2006. aasta Saksamaal	Kategori:2006 i Tyskland
Kategooria:2006. aasta Vormel 1 hooaeg	Kategori:Formel 1-sesongen 2006
Kategooria:2006. aasta spordis	Kategori:Sport i 2006
Kategooria:2007. aasta muusikas	Kategori:Musikk i 2007
Kategooria:2008. aasta Eestis	Kategori:2008 i Estland
Kategooria:2008. aasta Vormel 1 hooaeg	Kategori:Formel 1-sesongen 2008
Kategooria:2008. aasta muusikas	Kategori:Musikk i 2008
Kategooria:2009. aasta Vormel 1 hooaeg	Kategori:Formel 1-sesongen 2009
Kategooria:2009. aasta muusikas	Kategori:Musikk i 2009
Kategooria:2009. aasta spordis	Kategori:Sport i 2009
Kategooria:2010. aasta muusikas	Kategori:Musikk i 2010
Kategooria:2010. aasta spordis	Kategori:Sport i 2010
Kategooria:Vilnius	Kategori:Vilnius
Kategooria:2011. aasta muusikas	Kategori:Musikk i 2011
Mall:OM-ujumine	Mal:OL svømming
Kategooria:2012. aasta muusikas	Kategori:Musikk i 2012
Kategooria:2012. aasta spordis	Kategori:Sport i 2012
Kategooria:2013. aasta muusikas	Kategori:Musikk i 2013
Kategooria:2014. aasta Taanis	Kategori:2014 i Danmark
Kategooria:2014. aasta jalgpalli maailmameistrivõistlused	Kategori:VM i fotball 2014
Kategooria:2014. aasta taliolümpiamängud	Kategori:Vinter-OL 2014
Kategooria:2014. aasta Brasiilias	Kategori:2014 i Brasil
Kategooria:2014. aasta Ungaris	Kategori:2014 i Ungarn
Kategooria:2014. aasta Poolas	Kategori:2014 i Polen
Kategooria:2014. aasta Hispaanias	Kategori:2014 i Spania
Kategooria:2014. aasta Šveitsis	Kategori:2014 i Sveits
Kategooria:2014. aasta Ukrainas	Kategori:2014 i Ukraina
Kategooria:2014. aasta Venemaal	Kategori:2014 i Russland
Kategooria:2014. aasta Suurbritannias	Kategori:2014 i Storbritannia
Kategooria:2016. aasta spordis	Kategori:Sport i 2016
Kategooria:Viikingiaeg	Kategori:Vikingtiden
Kategooria:Norra sportlased	Kategori:Norske sportsutøvere
Kategooria:Sündinud 624 eKr	Kategori:Fødsler i 624 f.Kr.
Kategooria:Albaania sportlased	Kategori:Albanske sportsutøvere
Kategooria:Kahevõistlejad	Kategori:Kombinertløpere
Kategooria:Austria jalgpallistaadionid	Kategori:Fotballstadioner i Østerrike
Kategooria:Saksamaa jalgpallistaadionid	Kategori:Fotballstadioner i Tyskland
Kategooria:AC Milani peatreenerid	Kategori:Milan-trenere
Kategooria:ACF Fiorentina mängijad	Kategori:Fotballspillere for ACF Fiorentina
Kategooria:Aachen	Kategori:Aachen
Kategooria:Århus	Kategori:Aarhus
Kategooria:Eesti vehklejad	Kategori:Estiske fektere
Kategooria:Olümpia aastate mallid	Kategori:Maler for øvelser under OL
Kategooria:Tabelite ja veergude mallid	Kategori:Tabellmaler
Kategooria:Jersey	Kategori:Jersey
Kategooria:Veterinaaria	Kategori:Veterinærmedisin
Kategooria:Egeuse mere saared	Kategori:Øyer i Egeerhavet
Kategooria:Lipari saared	Kategori:De eoliske øyer
Kategooria:Vest-Agder	Kategori:Vest-Agder
Kategooria:Afganistani kirjandus	Kategori:Afghansk litteratur
Kategooria:Vermonti maakonnad	Kategori:Fylker i Vermont
Kategooria:Veneetsia	Kategori:Venezia
Kategooria:Tuli	Kategori:Ild
Kategooria:Veneto maakond	Kategori:Veneto
Kategooria:Horvaatia lennujaamad	Kategori:Flyplasser i Kroatia
Kategooria:Montenegro lennujaamad	Kategori:Flyplasser i Montenegro
Mall:CMR	Mal:Kameruns regioner
Kategooria:Alabama maakonnad	Kategori:Fylker i Alabama
Kategooria:Austraalia albumid	Kategori:Australske musikkalbum
Kategooria:Saksamaa albumid	Kategori:Tyske musikkalbum
Kategooria:Iirimaa albumid	Kategori:Irske musikkalbum
