Àfrica	Afrika
Plantilla:Babel ru-2	Mal:Bruker ru-2
Plantilla:Babel es-3	Mal:Bruker es-3
Categoria:Cultura del Japó	Kategori:Japansk kultur
Categoria:Geografia del Japó	Kategori:Japans geografi
Categoria:Mart	Kategori:Mars
Categoria:Rius de França	Kategori:Elver i Frankrike
Categoria:Catolicisme	Kategori:Katolisisme
Plantilla:Municipis Val-de-Marne	Mal:Kommuner i Val-de-Marne
Categoria:Endocrinologia	Kategori:Endokrinologi
Plantilla:Selecció francesa a la Copa del Món de futbol 2010	Mal:Frankrikes lag i fotball-VM 2010
Categoria:Política de Kenya	Kategori:Kenyansk politikk
Categoria:Hematologia	Kategori:Hematologi
Categoria:Hidrografia	Kategori:Hydrografi
Categoria:Al-Qaida	Kategori:Al-Qaida
Plantilla:Babel eu-1	Mal:Bruker eu-1
Portal:Japó	Portal:Japan
Categoria:Exploradors britànics	Kategori:Britiske oppdagere
Plantilla:Selecció francesa a l'Eurocopa 2000	Mal:Frankrikes lag i fotball-EM 2000
Categoria:Futbol a Polònia	Kategori:Fotball i Polen
Categoria:Clubs de futbol polonesos	Kategori:Fotballag i Polen
Categoria:Var	Kategori:Var
Categoria:Cítrics	Kategori:Sitrusfrukt
Plantilla:Selecció francesa a la Copa del Món de futbol 2006	Mal:Frankrikes lag i fotball-VM 2006
Plantilla:Satèl·lits d'Urà	Mal:Uranus' måner
Categoria:Pel·lícules de ciència-ficció	Kategori:Science fiction-filmer
Plantilla:Selecció italiana a la Copa del Món de futbol 2010	Mal:Italias lag i fotball-VM 2010
Categoria:Modernisme català	Kategori:Katalansk modernisme
Categoria:Actors irlandesos	Kategori:Irske skuespillere
Categoria:Usuaris pt-2	Kategori:Bruker pt-2
Plantilla:16TeamBracket-Compact-Tennis3	Mal:16TeamBracket-Compact-Tennis3
Categoria:Usuaris pt-N	Kategori:Bruker pt-N
Província de Lovetx	Lovetsj oblast
Categoria:Usuaris ro-2	Kategori:Bruker ro-2
Categoria:Usuaris ro-3	Kategori:Bruker ro-3
Categoria:Usuaris ro-N	Kategori:Bruker ro-N
Categoria:Usuaris ru	Kategori:Bruker ru
Categoria:Usuaris ru-2	Kategori:Bruker ru-2
Categoria:Usuaris ru-3	Kategori:Bruker ru-3
Centre polític	Sentrum (politikk)
Categoria:Usuaris ru-4	Kategori:Bruker ru-4
Categoria:Organitzacions ecologistes	Kategori:Miljøorganisasjoner
Categoria:Educació al Regne Unit	Kategori:Utdanning i Storbritannia
Categoria:Municipis de les Illes Balears	Kategori:Kommuner på Balearene
Categoria:Nordland	Kategori:Nordland
Plantilla:Infotaula de municipi belga	Mal:Infoboks belgisk kommune
Categoria:Usuaris sk-1	Kategori:Bruker sk-1
Participants Olímpics Independents	Individuelle olympiske utøvere under OL
Categoria:Usuaris sq	Kategori:Bruker sq
Categoria:Usuaris sq-1	Kategori:Bruker sq-1
Plantilla:Supercopes de futbol europees de major nivell (UEFA)	Mal:UEFA-supercuper
Categoria:Usuaris sq-N	Kategori:Bruker sq-N
Categoria:Usuaris sr	Kategori:Bruker sr
Categoria:Usuaris sr-1	Kategori:Bruker sr-1
Categoria:Usuaris sr-3	Kategori:Bruker sr-3
Categoria:Usuaris sr-N	Kategori:Bruker sr-N
Plantilla:PermísOTRS	Mal:PermissionOTRS
Categoria:Usuaris sv-1	Kategori:Bruker sv-1
Categoria:Usuaris sv-3	Kategori:Bruker sv-3
Categoria:Usuaris sv-N	Kategori:Bruker sv-N
Categoria:Usuaris sxu	Kategori:Bruker sxu
Categoria:Usuaris sxu-1	Kategori:Bruker sxu-1
Categoria:Usuaris th-1	Kategori:Bruker th-1
Categoria:Usuaris th-N	Kategori:Bruker th-N
Categoria:Usuaris tl	Kategori:Bruker tl
Categoria:The Legend of Zelda	Kategori:The Legend of Zelda
Categoria:Usuaris tr	Kategori:Bruker tr
Categoria:Usuaris tr-N	Kategori:Bruker tr-N
Categoria:One Piece	Kategori:One Piece
Categoria:Usuaris uk-1	Kategori:Bruker uk-1
Categoria:Usuaris uk-2	Kategori:Bruker uk-2
Categoria:Usuaris uk-4	Kategori:Bruker uk-4
Categoria:Usuaris vi	Kategori:Bruker vi
Categoria:Usuaris vi-N	Kategori:Bruker vi-N
Categoria:Eleccions a França	Kategori:Valg i Frankrike
Categoria:Llevadores	Kategori:Jordmødre
Categoria:Usuaris yi	Kategori:Bruker yi
Categoria:Usuaris yi-1	Kategori:Bruker yi-1
Categoria:Usuaris yi-2	Kategori:Bruker yi-2
Categoria:Programes de televisió	Kategori:TV-programmer
President del Vietnam	Liste over Vietnams presidenter
Categoria:Usuaris zh-yue-N	Kategori:Bruker yue-N
Categoria:Clubs esportius grecs	Kategori:Idrettslag i Hellas
Categoria:Aparells gimnàstics	Kategori:Turnapparater
Categoria:Camaldulesos	Kategori:Kamaldulensere
Complex de Castells de Vílnius	Vilnius slottskompleks
Plantilla:Temporades de la Primera divisió espanyola de futbol	Mal:Sesonger i spansk Primera División (fotball)
Categoria:Illa de Man	Kategori:Man
Categoria:1714	Kategori:1714
Plantilla:Nay	Mal:Ikke ok
Categoria:Pel·lícules de western	Kategori:Westernfilmer
Plantilla:Profetes en l'Alcorà	Mal:Islams profeter
Fenerbahçe Spor Kulübü	Fenerbahçe SK
Plantilla:Subdivisions dels Països Baixos	Mal:Nederlands provinser
Categoria:Crítics literaris	Kategori:Litteraturhistorikere og litteraturkritikere
Plantilla:Tvtome show	Mal:Tv.com
Plantilla:Spaces	Mal:Mellomrom
Categoria:Pel·lícules d'Itàlia	Kategori:Italienske filmer
Categoria:Uppsala	Kategori:Uppsala
Categoria:Músics	Kategori:Musikere
Categoria:Pel·lícules del 1981	Kategori:Filmer fra 1981
Categoria:Kurds	Kategori:Kurdere
Llista d'asteroides (1001-2000)	Liste over nummererte småplaneter: 1001–2000
Categoria:Déus del temps	Kategori:Tids- og skjebnegudinner
Categoria:Material mèdic	Kategori:Medisinsk utstyr
Generador de vapor	Dampkjele
Categoria:Competicions esportives a Eslovènia	Kategori:Sportsarrangementer i Slovenia
Plantilla:Open wikilink	Mal:Open wikilink
Plantilla:Close wikilink	Mal:Close wikilink
Plantilla:Selecció sèrbia a la Copa del Món 2010	Mal:Serbias lag i fotball-VM 2010
Plantilla:Lang	Mal:Språk
Categoria:Literatura japonesa	Kategori:Japansk litteratur
Plantilla:FishBase species	Mal:FishBase-art
Plantilla:Setembre 21	Mal:September 21
Plantilla:Nom japonès	Mal:Japansk navn
Categoria:Suïcides	Kategori:Dødsfall ved selvmord
Categoria:Cardenals anglesos	Kategori:Engelske kardinaler
Categoria:Nedadors alemanys	Kategori:Tyske svømmere
Categoria:Nedadors russos	Kategori:Russiske svømmere
Categoria:Futbolistes del Deportivo Alavés	Kategori:Fotballspillere for Deportivo Alavés
Categoria:Cultura de Bulgària	Kategori:Bulgarsk kultur
Universidade Federal do Recôncavo da Bahia	Universidade Federal do Recôncavo da Bahia
Categoria:Bàsquet a Espanya	Kategori:Basketball i Spania
Categoria:Setges	Kategori:Beleiringer
Categoria:Geografia dels Emirats Àrabs Units	Kategori:De forente arabiske emiraters geografi
Categoria:Emirats dels Emirats Àrabs Units	Kategori:De forente arabiske emiraters emirater
Plantilla:Bandera codi del COI GBR	Mal:FlagIOCathlete/flagg/GBR
Categoria:Pintors estatunidencs	Kategori:Malere fra USA
Categoria:Artistes per origen	Kategori:Kunstnere etter nasjonalitet
Categoria:Pintors	Kategori:Malere
Categoria:Art per territori	Kategori:Kunst etter område
Categoria:Delhi	Kategori:Delhi
Categoria:Isòtops	Kategori:Isotoper
Plantilla:Equips de la UEFA	Mal:UEFA-landslag
Categoria:Persones de Pernambuco	Kategori:Personer fra Pernambuco
Categoria:Relativitat	Kategori:Relativitetsteori
Categoria:Escriptors islandesos	Kategori:Islandske forfattere
Categoria:Madrid	Kategori:Madrid
Viquipèdia:Política d'ús d'imatges	Wikipedia:Retningslinjer for billedbruk
Plantilla:Plantilla del Manchester United FC	Mal:Manchester United
Categoria:Militars	Kategori:Militærpersoner
Categoria:Poetes escocesos	Kategori:Skotske lyrikere
Categoria:Pel·lícules del 1969	Kategori:Filmer fra 1969
Categoria:Escriptors xinesos	Kategori:Kinesiske forfattere
Plantilla:Contingut fictici	Mal:I fiksjonen
Categoria:Proves atlètiques de mitja distància	Kategori:Mellomdistanseløp
Categoria:Monestirs	Kategori:Klostre
Categoria:Proves atlètiques combinades	Kategori:Mangekamp (friidrett)
Categoria:Camps de concentració nazis	Kategori:Konsentrasjonsleirer fra andre verdenskrig
Categoria:Escriptors hongaresos	Kategori:Ungarske forfattere
Categoria:Munic	Kategori:München
Categoria:Cantants irlandesos	Kategori:Irske sangere
Plantilla:Selecció espanyola a l'Eurocopa 2008	Mal:Spanias lag i fotball-EM 2008
Categoria:Música de Rússia	Kategori:Russisk musikk
Categoria:Arquebisbes de Canterbury	Kategori:Erkebiskoper av Canterbury
Plantilla:Selecció portuguesa a l'Eurocopa 2008	Mal:Portugals lag i fotball-EM 2008
Plantilla:Selecció neerlandesa a l'Eurocopa 2008	Mal:Nederlands lag i fotball-EM 2008
Plantilla:Selecció romanesa a l'Eurocopa 2008	Mal:Romanias lag i fotball-EM 2008
Plantilla:Mitologiaescandinava	Mal:Norrøn mytologi
Plantilla:Selecció alemanya a la Copa del Món 2010	Mal:Tysklands lag i fotball-VM 2010
Categoria:Volcans de Hawaii	Kategori:Vulkaner i Hawaii
Plantilla:Selecció portuguesa a la Copa del Món de futbol 2010	Mal:Portugals lag i fotball-VM 2010
Plantilla:Selecció sèrbia a la Copa del Món de futbol 2006	Mal:Serbia og Montenegros lag i fotball-VM 2006
Plantilla:Selecció brasilera a la Copa del Món de futbol 2002	Mal:Brasils lag i fotball-VM 2002
Plantilla:Selecció alemanya a l'Eurocopa 2008	Mal:Tysklands lag i fotball-EM 2008
Categoria:Guerres dels Estats Units	Kategori:Kriger med deltagelse av USA
Categoria:Serralades d'Àfrica	Kategori:Fjellkjeder i Afrika
Categoria:Llengües a Bèlgica	Kategori:Språk i Belgia
Plantilla:Selecció neerlandesa a la Copa del Món de futbol 2010	Mal:Nederlands lag i fotball-VM 2010
Plantilla:OCLC	Mal:OCLC
Plantilla:Selecció grega a l'Eurocopa 2008	Mal:Hellas' lag i fotball-EM 2008
Plantilla:Selecció argentina a la Copa del Món 2010	Mal:Argentinas lag i fotball-VM 2010
Categoria:Pel·lícules del 1986	Kategori:Filmer fra 1986
Categoria:Guardonats amb els premis Nobel	Kategori:Nobelprisvinnere
Categoria:Municipis de França	Kategori:Kommuner i Frankrike
Categoria:Municipis de Bèlgica	Kategori:Kommuner i Belgia
Categoria:Municipis d'Alemanya	Kategori:Kommuner i Tyskland
Ajuda:Carregar imatges i altres fitxers multimèdia	Hjelp:Bildeopplasting
Categoria:Municipis d'Àustria	Kategori:Kommuner i Østerrike
Plantilla:Babel ro-1	Mal:Bruker ro-1
Política de Letònia	Latvias politiske system
Espectre (desambiguació)	Spectrum
Categoria:Terminologia esportiva	Kategori:Sportsterminologi
Categoria:Terminologia	Kategori:Terminologi
Categoria:Arbres	Kategori:Tresorter
Categoria:Matemàtics russos	Kategori:Russiske matematikere
Categoria:Biografies per activitat i origen	Kategori:Beskjeftigelser etter nasjonalitet
Categoria:Treball	Kategori:Arbeidsliv
Categoria:Sociologia	Kategori:Sosiologi
Plantilla:Riu	Mal:Infoboks elv
Categoria:Pel·lícules del 1982	Kategori:Filmer fra 1982
Categoria:Pel·lícules del 1983	Kategori:Filmer fra 1983
Llista de guerres de l'Azerbaidjan	Liste over kriger Aserbajdsjan har deltatt i
Categoria:Pel·lícules del 1984	Kategori:Filmer fra 1984
Categoria:Pel·lícules del 1985	Kategori:Filmer fra 1985
Categoria:Pel·lícules del 1987	Kategori:Filmer fra 1987
Plantilla:2. Bundesliga	Mal:2. Bundesliga
Plantilla:UCI ProTour 2006	Mal:UCI ProTour 2006
Plantilla:InstalPequín	Mal:Arenaer under Sommer-OL 2008
Categoria:1780	Kategori:1780
Categoria:Esport a Londres	Kategori:Sport i London
Plantilla:Calendari mundial UCI 2009	Mal:UCI Verdenskalender 2009
Categoria:Ciutats de Califòrnia	Kategori:Byer i California
Categoria:Illes de les Canàries	Kategori:Øyer på Kanariøyene
Isolínia	Isoplett
Plantilla:Calendari mundial UCI 2010	Mal:UCI Verdenskalender 2010
Categoria:Núvols	Kategori:Skyer
Viquipèdia:Efemèrides seleccionades/Abril	Wikipedia:Hendelser/April
Plantilla:UCI World Tour 2011	Mal:UCI World Tour 2011
Antropometria	Antropometri
Categoria:Lantànids	Kategori:Lantanoider
Plantilla:UCI World Tour 2012	Mal:UCI WorldTour 2012
Plantilla:UCI World Tour 2013	Mal:UCI WorldTour 2013
Intel·ligència empresarial	Business intelligence
Categoria:Pel·lícules dirigides per Hayao Miyazaki	Kategori:Filmer regissert av Hayao Miyazaki
Plantilla:Location map Jharkhand	Mal:Kartposisjon Jharkhand
Plantilla:Seleccions de l'AFC	Mal:AFC-landslag
Plantilla:Doble imatge	Mal:Dobbeltbilde
Plantilla:Str index	Mal:Str index
Plantilla:Esborrany d'astronomia	Mal:Astronomistubb
Província de Lowgar	Lowgar (provins)
Gran fèlid	Store katter
Ent	Ent
Categoria:Personatges de Disney	Kategori:Disney-figurer
Plantilla:Divisions administratives de Letònia	Mal:Latvias kommuner
Plantilla:Divisions administratives de la República Centreafricana	Mal:Den sentralafrikanske republikks prefekturer
Plantilla:Subdivisions d'Ucraïna	Mal:Ukrainas oblaster
Categoria:Dècada del 1820	Kategori:Hendelser i 1820-årene
Categoria:Dècada del 1670	Kategori:Hendelser i 1670-årene
Categoria:Dècada del 1770	Kategori:Hendelser i 1770-årene
Categoria:Dècada del 1760	Kategori:Hendelser i 1760-årene
Categoria:Dècada del 1710	Kategori:Hendelser i 1710-årene
Categoria:Dècada del 1810	Kategori:Hendelser i 1810-årene
Plantilla:Esborrar3	Mal:Slettnom
Estructura	Struktur
Categoria:Segle III	Kategori:200-tallet
Categoria:Dècada del 1850	Kategori:Hendelser i 1850-årene
Plantilla:Copa d'Àfrica de Nacions	Mal:Afrikamesterskapet i fotball
Categoria:Segle XI	Kategori:1000-tallet
Plantilla:Ciclisme a Pequín 2008	Mal:Sykling under Sommer-OL 2008
Categoria:Segle XVII	Kategori:1600-tallet
Categoria:Dècada del 1880	Kategori:Hendelser i 1880-årene
Categoria:Dècada del 1720	Kategori:Hendelser i 1720-årene
Categoria:Dècada del 1750	Kategori:Hendelser i 1750-årene
Categoria:Dècada del 1870	Kategori:Hendelser i 1870-årene
Categoria:Dècada del 1780	Kategori:Hendelser i 1780-årene
Plantilla:Ancestres-compact6	Mal:Ahnentafel-compact6
Nóldor	Noldo
Categoria:Dècada del 1860	Kategori:Hendelser i 1860-årene
Categoria:Dècada del 1790	Kategori:Hendelser i 1790-årene
Categoria:Dècada del 1730	Kategori:Hendelser i 1730-årene
Plantilla:Municipis Ain	Mal:Kommuner i Ain
Regne de Lotaríngia	Lotharingia
Plantilla:Aeroports de Suïssa	Mal:Flyplasser i Sveits
Plantilla:Babel ca	Mal:Bruker ca
Categoria:Dècada del 1440	Kategori:Hendelser i 1440-årene
Categoria:Dècada del 1800	Kategori:Hendelser i 1800-årene
Plantilla:Municipis Alier	Mal:Kommuner i Allier
Plantilla:Municipis Alps Marítims	Mal:Kommuner i Alpes-Maritimes
Plantilla:Municipis Alps de l'Alta Provença	Mal:Kommuner i Alpes-de-Haute-Provence
Plantilla:Esquí alpí a Torí 2006	Mal:Alpint under Vinter-OL 2006
Plantilla:Esquí alpí a Oslo 1952	Mal:Alpint under Vinter-OL 1952
Plantilla:Esquí alpí a Vancouver 2010	Mal:Alpint under Vinter-OL 2010
Plantilla:Gèneres del rock alternatiu	Mal:Alternativ rock
Categoria:Dècada del 1700	Kategori:Hendelser i 1700-årene
Categoria:Segle X	Kategori:900-tallet
Plantilla:Aminoàcids	Mal:Aminosyrer
Categoria:Segle VII	Kategori:600-tallet
Plantilla:Amstel Gold Race	Mal:Amstel Gold Race
Categoria:Batalles per estat	Kategori:Slag etter deltagelse
Llista d'episodis de The Big Bang Theory	Liste over The Big Bang Theory-episoder
Categoria:Fantasmes	Kategori:Spøkelser
Categoria:Directors de cinema irlandesos	Kategori:Irske regissører
Categoria:Peces de roba interior	Kategori:Undertøy
Plantilla:Refbegin	Mal:Refstart
Categoria:Unitats del Sistema Internacional	Kategori:SI-enheter
Grand Tour	Dannelsesreisen
Categoria:Pel·lícules del 1914	Kategori:Filmer fra 1914
Plantilla:Municipis Ardenes	Mal:Kommuner i Ardennes
Categoria:Pel·lícules del 1925	Kategori:Filmer fra 1925
Pipa (instrument)	Pipa
Categoria:Pel·lícules del 1930	Kategori:Filmer fra 1930
Categoria:Grups de rock progressiu	Kategori:Progressive band
Plantilla:Municipis Arieja	Mal:Kommuner i Ariège
Categoria:Pel·lícules del 1932	Kategori:Filmer fra 1932
Categoria:Pel·lícules del 1933	Kategori:Filmer fra 1933
Categoria:Pel·lícules del 1934	Kategori:Filmer fra 1934
Plantilla:Plantilla de l'Arsenal FC	Mal:Arsenal
Plantilla:Esborrar1	Mal:Sletting
Plantilla:Creador d'articles/botó creador	Mal:Artikkelveiviser/knapp veiviser
Categoria:Pel·lícules del 1936	Kategori:Filmer fra 1936
Plantilla:A data de	Mal:As of
Categoria:Egipcis	Kategori:Egyptere
Categoria:Ghanesos	Kategori:Ghanesere
Categoria:Afganesos	Kategori:Afghanere
Plantilla:Campionat del Món d'atletisme 2009	Mal:VMFriidrett2009
Plantilla:Atletisme a Londres 2012	Mal:Friidrett under Sommer-OL 2012
Love (cançó de 1973)	Love (sang)
Plantilla:Plantilla de l'Atlético de Madrid	Mal:Atlético Madrid
Categoria:Persones de l'antiga Grècia	Kategori:Grekere fra oldtiden
Plantilla:Fb r team	Mal:Fb r team
Categoria:Equips de Fórmula 1	Kategori:Formel 1-konstruktører
Categoria:Discs del 1999	Kategori:Musikkalbum fra 1999
Categoria:Cinema per origen	Kategori:Film etter nasjonalitet
Categoria:Pel·lícules del 1938	Kategori:Filmer fra 1938
Categoria:Pel·lícules del 1939	Kategori:Filmer fra 1939
Categoria:Comportament humà	Kategori:Menneskelig atferd
Categoria:Humans	Kategori:Mennesker
Categoria:Hominoïdeus	Kategori:Menneskeaper
Categoria:Primats	Kategori:Primater
Categoria:Receptors de l'Orde del Mèrit de la República Federal d'Alemanya	Kategori:Forbundsrepublikken Tysklands fortjenstorden
Categoria:Plantilles per a categories	Kategori:Kategorimaler
Categoria:Tirol del Sud	Kategori:Syd-Tirol
Categoria:Projectes Wikimedia	Kategori:Wikimedia-prosjekter
Categoria:Expedicions	Kategori:Ekspedisjoner
Categoria:Plats amb arròs	Kategori:Risretter
Categoria:Morfologia vegetal	Kategori:Plantemorfologi
Categoria:Lamborghini	Kategori:Lamborghini
Luis María Usoz Quintana	Luis María Usoz
Plantilla:Municipis Aude	Mal:Kommuner i Aude
Plantilla:Municipis Avairon	Mal:Kommuner i Aveyron
Categoria:Pokémon	Kategori:Pokémon
Plantilla:BBC programme	Mal:BBC program
Plantilla:Persona viva	Mal:Blp
Plantilla:BS-amagar	Mal:JBS-startVisSkjul
Plantilla:BS5	Mal:JBS5
Plantilla:BS6/ús	Mal:JBS6
Plantilla:BS7	Mal:JBS7
Categoria:Microsoft Windows	Kategori:Microsoft Windows
Categoria:Futbolistes del Celta de Vigo	Kategori:Fotballspillere for Celta de Vigo
Categoria:Actors de doblatge	Kategori:Stemmeskuespillere
Categoria:Porsche	Kategori:Porsche
Plantilla:Barra percentatge	Mal:Prosentstolpe
Lønset	Lønset
Plantilla:Municipis del Baix Rin	Mal:Kommuner i Bas-Rhin
Categoria:Llengües itàliques	Kategori:Italiske språk
Plantilla:Bélgorod	Mal:Byer i Belgorod oblast
Categoria:Escriptors noruecs	Kategori:Norske forfattere
Plantilla:Cursa ciclista	Mal:Infoboks sykkelritt
Plantilla:Biatló a Vancouver 2010	Mal:Skiskyting under Vinter-OL 2010
Categoria:Partits polítics de la República d'Irlanda	Kategori:Politiske partier i Republikken Irland
Plantilla:Data naixement	Mal:Fødselsdato
Categoria:Província de Saràtov	Kategori:Saratov oblast
Categoria:Biologia evolutiva	Kategori:Evolusjonsbiologi
Plantilla:Bk-rt	Mal:Basketballflagg
Categoria:Aeroports de l'Uruguai	Kategori:Flyplasser i Uruguay
Alternativa per Alemanya	Alternativ for Tyskland
Categoria:Tuamotu	Kategori:Tuamotu
Plantilla:Esborrany de jocs de tauler	Mal:Brettspillstubb
Categoria:Regions de França	Kategori:Frankrikes regioner
Categoria:Aquitània	Kategori:Aquitaine
Categoria:Alvèrnia	Kategori:Auvergne
Ruth Lorenzo Pascual	Ruth Lorenzo
Categoria:Baixa Normandia	Kategori:Basse-Normandie
Categoria:Jugadors dels Philadelphia 76ers	Kategori:Basketballspillere for Philadelphia 76ers
Categoria:Borgonya	Kategori:Bourgogne
Categoria:Centre	Kategori:Centre
Categoria:2014	Kategori:2014
Categoria:2015	Kategori:2015
Categoria:Xampanya-Ardenes	Kategori:Champagne-Ardenne
Categoria:Prefectura de Khanià	Kategori:Khania
Categoria:Alsàcia	Kategori:Alsace
Categoria:Franc Comtat	Kategori:Franche-Comté
Categoria:Guadalupe	Kategori:Guadeloupe
Categoria:Alta Normandia	Kategori:Haute-Normandie
Categoria:Illa de França	Kategori:Île-de-France
Categoria:Economia d'Islàndia	Kategori:Islands økonomi
Categoria:Edificis de Mèxic	Kategori:Byggverk i Mexico
Categoria:Política d'Estònia	Kategori:Estisk politikk
Plantilla:Selecció brasilera a la Copa del Món 2010	Mal:Brasils lag i fotball-VM 2010
Categoria:Còrsega	Kategori:Korsika
Categoria:Llenguadoc-Rosselló	Kategori:Languedoc-Roussillon
Categoria:Llemosí	Kategori:Limousin
Plantilla:Britannica	Mal:Britannica
Categoria:Lorena	Kategori:Lorraine
Categoria:Martinica	Kategori:Martinique
Categoria:Migdia-Pirineus	Kategori:Midi-Pyrénées
Categoria:Comunitats i instituts de perfecció catòlics	Kategori:Katolske ordener
Categoria:Economia dels Estats Units	Kategori:USAs økonomi
Categoria:Teatres d'Itàlia	Kategori:Teatre i Italia
Categoria:Edificis de Croàcia	Kategori:Byggverk i Kroatia
Categoria:Economia d'Àustria	Kategori:Østerrikes økonomi
Categoria:Esportistes costarriquenys	Kategori:Costaricanske sportsutøvere
Categoria:Política de Djibouti	Kategori:Djiboutisk politikk
Categoria:Política del Vietnam	Kategori:Vietnamesisk politikk
Categoria:Política de l'Argentina	Kategori:Argentinsk politikk
Categoria:Esportistes per origen	Kategori:Sportsutøvere etter nasjonalitet
Categoria:Municipis de la Baixa Califòrnia	Kategori:Kommuner i Baja California
Categoria:Primers ministres d'Eslovènia	Kategori:Slovenias statsministre
Categoria:Economia de l'Índia	Kategori:Indias økonomi
Categoria:Política dels Estats Units	Kategori:USAs politikk
Plantilla:Babel sv-3	Mal:Bruker sv-3
Paralepidocephalus yui	Paralepidocephalus yui
Categoria:Nematodes	Kategori:Rundormer
Categoria:Pel·lícules del 1956	Kategori:Filmer fra 1956
Plantilla:CAS	Mal:CAS
Categoria:Política d'Egipte	Kategori:Egyptisk politikk
Categoria:Premis Nobel de Literatura	Kategori:Nobelprisvinnere (litteratur)
Categoria:València	Kategori:Valencia
Maithripala Sirisena	Maithripala Sirisena
Plantilla:CODATA2006	Mal:CODATA2006
Plantilla:Seleccions de la CONMEBOL	Mal:CONMEBOL-landslag
Categoria:Pel·lícules del 2001	Kategori:Filmer fra 2001
Categoria:Geografia de l'Índia	Kategori:Indias geografi
Categoria:Plantilles de navegació de lingüística	Kategori:Navigasjonsmaler språk
Categoria:Pel·lícules del 1929	Kategori:Filmer fra 1929
Categoria:Irunesos	Kategori:Personer fra Irún
Categoria:Pel·lícules del 1993	Kategori:Filmer fra 1993
Categoria:Actors de doblatge estatunidencs	Kategori:Stemmeskuespillere fra USA
Categoria:Esborranys d'escriptors	Kategori:Forfatterstubber
Categoria:Comtats de Washington	Kategori:Fylker i Washington
Plantilla:Fr	Mal:Fr icon
Categoria:Edificis de Xile	Kategori:Byggverk i Chile
Categoria:Municipis de Birmània	Kategori:Byer i Myanmar
Categoria:Emperadors bizantins	Kategori:Østromerske keisere
Plantilla:Twitter	Mal:Twitter
Categoria:Portals	Kategori:Portaler
Categoria:Emberízids	Kategori:Buskspurver
Categoria:Videojocs per a Nintendo Entertainment System	Kategori:NES-spill
Categoria:Rius de Birmània	Kategori:Elver i Myanmar
Categoria:Bioquímica	Kategori:Biokjemi
Categoria:Competicions d'hoquei herba	Kategori:Landhockeyturneringer
Categoria:Municipis del Loira Atlàntic	Kategori:Kommuner i Loire-Atlantique
Categoria:Religió a Rússia	Kategori:Religion i Russland
Categoria:Futbolistes sud-coreans	Kategori:Sørkoreanske fotballspillere
Categoria:Clubs d'hoquei gel	Kategori:Ishockeyklubber
Categoria:Micologia	Kategori:Mykologi
Categoria:Geografia de Tuvalu	Kategori:Tuvalus geografi
Categoria:Hoquei sobre herba als Jocs Olímpics	Kategori:Landhockey under sommer-OL
Categoria:Economia de Lituània	Kategori:Litauens økonomi
Categoria:Ferrocarril a França	Kategori:Jernbane i Frankrike
Viquipèdia:Petició d'imatges	Wikipedia:Ønskede bilder
Categoria:Geografia del Quebec	Kategori:Québecs geografi
Categoria:Edificis de la República Txeca	Kategori:Byggverk i Tsjekkia
Categoria:Esport a Burkina Faso	Kategori:Sport i Burkina Faso
Categoria:Programació	Kategori:Programmering
Categoria:Religió a la República Txeca	Kategori:Religion i Tsjekkia
Categoria:Municipis del Sena Marítim	Kategori:Kommuner i Seine-Maritime
Categoria:Experiments de física	Kategori:Fysikkeksperimenter
Categoria:Guerra de Troia	Kategori:Den trojanske krig
Categoria:País Basc	Kategori:Baskerland
Categoria:Pel·lícules del 1951	Kategori:Filmer fra 1951
Categoria:Alta Savoia	Kategori:Haute-Savoie
Plantilla:Logo pendent	Mal:Holder på
Categoria:Empreses que cotitzen al NASDAQ	Kategori:Selskaper notert på NASDAQ
Categoria:Empresaris italians	Kategori:Italienske forretningsfolk
Marina Garcia i Urzainqui	Marina García Urzainqui
Marina Lee	Marina Lie
Categoria:Reis visigots	Kategori:Vestgotiske konger
Categoria:Maldonado	Kategori:Maldonado (departement)
Categoria:Orde de l'Imperi Britànic	Kategori:Order of the British Empire
Categoria:Pel·lícules sobre la Segona Guerra Mundial	Kategori:Filmer om andre verdenskrig
Categoria:Literatura russa	Kategori:Russisk litteratur
Categoria:Geografia d'Itàlia	Kategori:Italias geografi
Categoria:Literatura per origen	Kategori:Litteratur etter område
Categoria:Sardenya	Kategori:Sardinia
Categoria:Vitamines	Kategori:Vitaminer
Categoria:Joieria	Kategori:Smykker
Plantilla:Caps d'estat de Kenya	Mal:Kenyas presidenter
Categoria:Geografia d'Europa	Kategori:Europas geografi
Categoria:Polítics kenyans	Kategori:Kenyanske politikere
Categoria:Pel·lícules del 1970	Kategori:Filmer fra 1970
Categoria:Segle XIX a Espanya	Kategori:1800-tallet i Spania
Categoria:Estats d'Alemanya	Kategori:Tyske delstater
Categoria:Economia del Japó	Kategori:Japans økonomi
Categoria:Coves	Kategori:Grotter
Categoria:Persones de Frankfurt del Main	Kategori:Personer fra Frankfurt am Main
Categoria:Illes fictícies	Kategori:Fiktive øyer
Categoria:Empreses del Japó	Kategori:Japanske selskaper
Categoria:Batalles del Regne d'Anglaterra	Kategori:Slag med deltagelse av England
Categoria:Florida	Kategori:Florida
Categoria:Esport a París	Kategori:Sport i Paris
Categoria:Geografia de les Illes Canàries	Kategori:Kanariøyenes geografi
Categoria:1945 als Estats Units	Kategori:1945 i USA
Categoria:Normandia	Kategori:Normandie
